policy,seed,steps,households,gini_assets,gini_income,poverty_rate,means_tested_poverty_rate,unemployment_rate,labor_participation,avg_wage,treasury,avg_deficit_last20,tax_revenue,ubi_spending,targeted_spending,false_positive_spending,false_negative_amount
Targeted only,39,80,235.0,0.5086986146821459,0.4677808592518653,0.3404255319148936,0.32340425531914896,0.2073170731707317,0.8723404255319149,2037.8145096578432,9451952.150012454,-135747.6326272757,166263.4463126158,0.0,26026.5,519.0,1413.0
Targeted only,40,80,240.0,0.5284975175121331,0.48193007341788996,0.35833333333333334,0.38333333333333336,0.29526462395543174,0.8692493946731235,1743.7043646332481,10443019.462690908,-143007.29716177768,175356.29716177768,0.0,24849.0,571.5,1513.5
"Mixed, 5% error",21,80,230.0,0.44071321150150466,0.420824079492943,0.30434782608695654,0.2782608695652174,0.23295454545454544,0.8648648648648649,2158.291319911616,7485364.599800269,-113178.63576891685,180386.45182111935,42245.0,19687.5,877.5,1069.5
"Mixed, 5% error",22,80,229.0,0.43849907418621914,0.42881129402700857,0.314410480349345,0.3056768558951965,0.2403560830860534,0.8798955613577023,1765.5808092941456,6115374.827436157,-81659.34844386566,148115.34844386566,40475.0,21981.0,511.5,1168.5
"Mixed, 5% error",23,80,242.0,0.44638492948053976,0.3785425686758397,0.2066115702479339,0.2396694214876033,0.07957559681697612,0.8954869358669834,2306.923770160511,7297324.701929802,-115553.09625604333,187781.63725066104,45035.0,23818.5,835.5,984.0
"Mixed, 5% error",24,80,229.0,0.45622733140730376,0.4012336127469285,0.25327510917030566,0.26200873362445415,0.15606936416184972,0.8737373737373737,2007.867582143928,6302488.252215022,-81688.71659873707,154433.5250697032,42565.0,23436.0,523.5,1162.5
"Mixed, 5% error",25,80,239.0,0.4521749183618786,0.4205670011490741,0.3723849372384937,0.4225941422594142,0.28703703703703703,0.8526315789473684,1483.8997871922168,3826849.3469046275,-62676.52613026892,137905.12385188197,41930.0,29356.5,367.5,1440.0
"Mixed, 5% error",26,80,242.0,0.4596911490154245,0.4415804704153179,0.36363636363636365,0.32231404958677684,0.27887323943661974,0.8452380952380952,1740.822603844964,7044517.523819715,-96804.5005677582,167320.00056775816,45300.0,23215.5,580.5,1107.0
"Mixed, 5% error",27,80,242.0,0.45160604707852503,0.42929415448334907,0.2768595041322314,0.256198347107438,0.20270270270270271,0.8726415094339622,2166.906895100762,8416029.01879659,-108477.00014181974,178530.5236698441,45285.0,21804.0,709.5,1252.5
"Mixed, 5% error",28,80,242.0,0.5014372683775812,0.4630343503381329,0.36363636363636365,0.3512396694214876,0.10089020771513353,0.8596938775510204,2164.743028937852,6323582.597919969,-89336.05432325881,162606.85355801572,45695.0,25114.5,736.5,1375.5
"Mixed, 5% error",29,80,242.0,0.47799891414063933,0.40396682491782854,0.28512396694214875,0.3181818181818182,0.12912087912087913,0.8584905660377359,1827.5614559424953,4642675.750704652,-56397.08578512608,133080.08578512605,44935.0,29748.0,417.0,1738.5
"Mixed, 5% error",30,80,242.0,0.4753535052575921,0.44437546425492624,0.34710743801652894,0.34297520661157027,0.25559105431309903,0.8528610354223434,1702.9299163345886,7382576.245023274,-101012.84159615982,170556.34159615982,41995.0,22048.5,622.5,1060.5
"Mixed, 5% error",31,80,240.0,0.4695431898681681,0.4179038368055519,0.2833333333333333,0.30833333333333335,0.2465753424657534,0.8774038461538461,1839.1891748099654,6735817.404724942,-88354.0432232457,165618.11281739673,45765.0,25614.0,750.0,1399.5
"Mixed, 5% error",32,80,239.0,0.48834496744642397,0.43163960986404426,0.28451882845188287,0.3054393305439331,0.15028901734104047,0.8564356435643564,2136.272294386193,6425722.8168700915,-86342.92004246823,158768.9200424682,43835.0,26091.0,532.5,1309.5
"Mixed, 5% error",33,80,242.0,0.4620118794930175,0.3961801649389909,0.24380165289256198,0.2603305785123967,0.10344827586206896,0.8613861386138614,1827.149240388196,5645962.440835974,-67682.64837179292,137264.14837179292,42385.0,25696.5,529.5,1284.0
"Mixed, 5% error",34,80,238.0,0.4461224270651907,0.40145321349088836,0.28991596638655465,0.3067226890756303,0.21764705882352942,0.8651399491094147,1702.291449700001,6054262.027754776,-75112.17423273159,146097.17423273157,42675.0,23310.0,504.0,1204.5
"Mixed, 5% error",35,80,232.0,0.4761543503676382,0.42584761576066055,0.28448275862068967,0.2974137931034483,0.12539184952978055,0.8221649484536082,1967.9050722381826,5277187.123673917,-67445.74810126923,139894.40650005738,41025.0,26146.5,585.0,1218.0
"Mixed, 5% error",36,80,241.0,0.46037489347963767,0.4144770537541069,0.31950207468879666,0.3360995850622407,0.21203438395415472,0.8450363196125908,1763.1303850866261,5166139.390380357,-65288.27942278613,140607.77942278615,44895.0,27424.5,469.5,1530.0
"Mixed, 5% error",37,80,238.0,0.4413919939428026,0.42724260916457313,0.31932773109243695,0.29411764705882354,0.2631578947368421,0.8528678304239401,1746.488231093047,5980691.977666717,-85483.14436508468,157646.6443650847,43240.0,23923.5,603.0,1218.0
"Mixed, 5% error",38,80,242.0,0.42254817964820934,0.4106886466985815,0.2892561983471074,0.2975206611570248,0.26795580110497236,0.8829268292682927,1616.457020455016,6884118.386033941,-93078.26811812574,167825.61943440227,44845.0,22893.0,724.5,1171.5
"Mixed, 5% error",39,80,236.0,0.4633267559642249,0.4657734482205744,0.3898305084745763,0.3940677966101695,0.31629392971246006,0.845945945945946,1782.1863783073813,6711173.617443451,-92292.14495626128,162956.64495626127,42350.0,23314.5,678.0,1225.5
